"Area","MTU","Biomass - Actual Aggregated [MW]","Energy storage - Actual Aggregated [MW]","Fossil Brown coal/Lignite - Actual Aggregated [MW]","Fossil Coal-derived gas - Actual Aggregated [MW]","Fossil Gas - Actual Aggregated [MW]","Fossil Hard coal - Actual Aggregated [MW]","Fossil Oil - Actual Aggregated [MW]","Fossil Oil shale - Actual Aggregated [MW]","Fossil Peat - Actual Aggregated [MW]","Geothermal - Actual Aggregated [MW]","Hydro Pumped Storage - Actual Aggregated [MW]","Hydro Pumped Storage - Actual Consumption [MW]","Hydro Run-of-river and poundage - Actual Aggregated [MW]","Hydro Water Reservoir - Actual Aggregated [MW]","Marine - Actual Aggregated [MW]","Nuclear - Actual Aggregated [MW]","Other - Actual Aggregated [MW]","Other renewable - Actual Aggregated [MW]","Solar - Actual Aggregated [MW]","Waste - Actual Aggregated [MW]","Wind Offshore - Actual Aggregated [MW]","Wind Onshore - Actual Aggregated [MW]"
"BZN|SI","01.01.2022 00:00 - 01.01.2022 01:00 (CET/CEST)","7","n/e","212","n/e","52","n/e","0","n/e","n/e","n/e","0","","109","n/e","n/e","693","n/e","n/e","0","11","n/e","0"
"BZN|SI","01.01.2022 01:00 - 01.01.2022 02:00 (CET/CEST)","7","n/e","207","n/e","56","n/e","0","n/e","n/e","n/e","0","","96","n/e","n/e","693","n/e","n/e","0","11","n/e","0"
"BZN|SI","01.01.2022 02:00 - 01.01.2022 03:00 (CET/CEST)","7","n/e","207","n/e","55","n/e","0","n/e","n/e","n/e","0","","94","n/e","n/e","693","n/e","n/e","0","11","n/e","0"
"BZN|SI","01.01.2022 03:00 - 01.01.2022 04:00 (CET/CEST)","7","n/e","207","n/e","55","n/e","0","n/e","n/e","n/e","0","","94","n/e","n/e","693","n/e","n/e","0","11","n/e","0"
"BZN|SI","01.01.2022 04:00 - 01.01.2022 05:00 (CET/CEST)","7","n/e","205","n/e","58","n/e","0","n/e","n/e","n/e","0","","94","n/e","n/e","693","n/e","n/e","0","11","n/e","0"
"BZN|SI","01.01.2022 05:00 - 01.01.2022 06:00 (CET/CEST)","6","n/e","206","n/e","60","n/e","0","n/e","n/e","n/e","0","","103","n/e","n/e","693","n/e","n/e","0","11","n/e","0"
"BZN|SI","01.01.2022 06:00 - 01.01.2022 07:00 (CET/CEST)","7","n/e","206","n/e","57","n/e","0","n/e","n/e","n/e","0","","97","n/e","n/e","693","n/e","n/e","0","11","n/e","0"
"BZN|SI","01.01.2022 07:00 - 01.01.2022 08:00 (CET/CEST)","6","n/e","204","n/e","57","n/e","0","n/e","n/e","n/e","0","","135","n/e","n/e","693","n/e","n/e","0","10","n/e","0"
"BZN|SI","01.01.2022 08:00 - 01.01.2022 09:00 (CET/CEST)","6","n/e","187","n/e","56","n/e","0","n/e","n/e","n/e","0","","233","n/e","n/e","693","n/e","n/e","5","11","n/e","0"
"BZN|SI","01.01.2022 09:00 - 01.01.2022 10:00 (CET/CEST)","6","n/e","189","n/e","56","n/e","0","n/e","n/e","n/e","0","","239","n/e","n/e","693","n/e","n/e","18","11","n/e","0"
"BZN|SI","01.01.2022 10:00 - 01.01.2022 11:00 (CET/CEST)","6","n/e","188","n/e","58","n/e","0","n/e","n/e","n/e","0","","230","n/e","n/e","693","n/e","n/e","30","11","n/e","0"
"BZN|SI","01.01.2022 11:00 - 01.01.2022 12:00 (CET/CEST)","6","n/e","188","n/e","57","n/e","0","n/e","n/e","n/e","0","","240","n/e","n/e","694","n/e","n/e","38","11","n/e","0"
"BZN|SI","01.01.2022 12:00 - 01.01.2022 13:00 (CET/CEST)","6","n/e","188","n/e","57","n/e","0","n/e","n/e","n/e","0","","276","n/e","n/e","694","n/e","n/e","40","10","n/e","0"
"BZN|SI","01.01.2022 13:00 - 01.01.2022 14:00 (CET/CEST)","6","n/e","188","n/e","56","n/e","0","n/e","n/e","n/e","0","","263","n/e","n/e","694","n/e","n/e","36","10","n/e","0"
"BZN|SI","01.01.2022 14:00 - 01.01.2022 15:00 (CET/CEST)","6","n/e","188","n/e","56","n/e","0","n/e","n/e","n/e","0","","306","n/e","n/e","694","n/e","n/e","22","11","n/e","0"
"BZN|SI","01.01.2022 15:00 - 01.01.2022 16:00 (CET/CEST)","6","n/e","188","n/e","56","n/e","0","n/e","n/e","n/e","174","","305","n/e","n/e","694","n/e","n/e","7","11","n/e","0"
"BZN|SI","01.01.2022 16:00 - 01.01.2022 17:00 (CET/CEST)","6","n/e","188","n/e","57","n/e","0","n/e","n/e","n/e","178","","546","n/e","n/e","694","n/e","n/e","0","11","n/e","0"
"BZN|SI","01.01.2022 17:00 - 01.01.2022 18:00 (CET/CEST)","7","n/e","188","n/e","60","n/e","0","n/e","n/e","n/e","176","","624","n/e","n/e","694","n/e","n/e","0","11","n/e","0"
"BZN|SI","01.01.2022 18:00 - 01.01.2022 19:00 (CET/CEST)","7","n/e","188","n/e","59","n/e","0","n/e","n/e","n/e","173","","638","n/e","n/e","693","n/e","n/e","0","11","n/e","0"
"BZN|SI","01.01.2022 19:00 - 01.01.2022 20:00 (CET/CEST)","7","n/e","188","n/e","57","n/e","0","n/e","n/e","n/e","173","","637","n/e","n/e","693","n/e","n/e","0","11","n/e","0"
"BZN|SI","01.01.2022 20:00 - 01.01.2022 21:00 (CET/CEST)","7","n/e","188","n/e","57","n/e","0","n/e","n/e","n/e","171","","494","n/e","n/e","693","n/e","n/e","0","11","n/e","0"
"BZN|SI","01.01.2022 21:00 - 01.01.2022 22:00 (CET/CEST)","7","n/e","188","n/e","57","n/e","0","n/e","n/e","n/e","0","","364","n/e","n/e","694","n/e","n/e","0","11","n/e","0"
"BZN|SI","01.01.2022 22:00 - 01.01.2022 23:00 (CET/CEST)","7","n/e","189","n/e","57","n/e","0","n/e","n/e","n/e","0","","282","n/e","n/e","693","n/e","n/e","0","11","n/e","0"
"BZN|SI","01.01.2022 23:00 - 02.01.2022 00:00 (CET/CEST)","7","n/e","204","n/e","54","n/e","0","n/e","n/e","n/e","0","","185","n/e","n/e","693","n/e","n/e","0","12","n/e","0"
"BZN|SI","02.01.2022 00:00 - 02.01.2022 01:00 (CET/CEST)","7","n/e","204","n/e","52","n/e","0","n/e","n/e","n/e","0","","107","n/e","n/e","694","n/e","n/e","0","12","n/e","0"
"BZN|SI","02.01.2022 01:00 - 02.01.2022 02:00 (CET/CEST)","7","n/e","206","n/e","55","n/e","0","n/e","n/e","n/e","0","","107","n/e","n/e","693","n/e","n/e","0","11","n/e","0"
"BZN|SI","02.01.2022 02:00 - 02.01.2022 03:00 (CET/CEST)","7","n/e","208","n/e","54","n/e","0","n/e","n/e","n/e","0","","107","n/e","n/e","693","n/e","n/e","0","11","n/e","0"
"BZN|SI","02.01.2022 03:00 - 02.01.2022 04:00 (CET/CEST)","7","n/e","207","n/e","54","n/e","0","n/e","n/e","n/e","0","","107","n/e","n/e","693","n/e","n/e","0","11","n/e","0"
"BZN|SI","02.01.2022 04:00 - 02.01.2022 05:00 (CET/CEST)","7","n/e","200","n/e","56","n/e","0","n/e","n/e","n/e","0","","106","n/e","n/e","693","n/e","n/e","0","11","n/e","0"
"BZN|SI","02.01.2022 05:00 - 02.01.2022 06:00 (CET/CEST)","7","n/e","207","n/e","58","n/e","0","n/e","n/e","n/e","0","","105","n/e","n/e","693","n/e","n/e","0","11","n/e","0"
"BZN|SI","02.01.2022 06:00 - 02.01.2022 07:00 (CET/CEST)","7","n/e","209","n/e","57","n/e","0","n/e","n/e","n/e","0","","105","n/e","n/e","693","n/e","n/e","0","11","n/e","0"
"BZN|SI","02.01.2022 07:00 - 02.01.2022 08:00 (CET/CEST)","7","n/e","205","n/e","57","n/e","0","n/e","n/e","n/e","0","","146","n/e","n/e","693","n/e","n/e","0","12","n/e","0"
"BZN|SI","02.01.2022 08:00 - 02.01.2022 09:00 (CET/CEST)","7","n/e","184","n/e","57","n/e","0","n/e","n/e","n/e","0","","248","n/e","n/e","693","n/e","n/e","6","11","n/e","0"
"BZN|SI","02.01.2022 09:00 - 02.01.2022 10:00 (CET/CEST)","7","n/e","185","n/e","57","n/e","0","n/e","n/e","n/e","0","","289","n/e","n/e","693","n/e","n/e","21","11","n/e","0"
"BZN|SI","02.01.2022 10:00 - 02.01.2022 11:00 (CET/CEST)","7","n/e","182","n/e","58","n/e","0","n/e","n/e","n/e","0","","332","n/e","n/e","693","n/e","n/e","37","11","n/e","0"
"BZN|SI","02.01.2022 11:00 - 02.01.2022 12:00 (CET/CEST)","6","n/e","182","n/e","58","n/e","0","n/e","n/e","n/e","0","","304","n/e","n/e","692","n/e","n/e","50","11","n/e","0"
"BZN|SI","02.01.2022 12:00 - 02.01.2022 13:00 (CET/CEST)","7","n/e","182","n/e","58","n/e","0","n/e","n/e","n/e","0","","286","n/e","n/e","693","n/e","n/e","50","11","n/e","0"
"BZN|SI","02.01.2022 13:00 - 02.01.2022 14:00 (CET/CEST)","7","n/e","178","n/e","56","n/e","0","n/e","n/e","n/e","0","","267","n/e","n/e","694","n/e","n/e","41","10","n/e","0"
"BZN|SI","02.01.2022 14:00 - 02.01.2022 15:00 (CET/CEST)","7","n/e","183","n/e","56","n/e","0","n/e","n/e","n/e","90","","345","n/e","n/e","694","n/e","n/e","24","10","n/e","0"
