"Area","MTU","Biomass - Actual Aggregated [MW]","Energy storage - Actual Aggregated [MW]","Fossil Brown coal/Lignite - Actual Aggregated [MW]","Fossil Coal-derived gas - Actual Aggregated [MW]","Fossil Gas - Actual Aggregated [MW]","Fossil Hard coal - Actual Aggregated [MW]","Fossil Oil - Actual Aggregated [MW]","Fossil Oil shale - Actual Aggregated [MW]","Fossil Peat - Actual Aggregated [MW]","Geothermal - Actual Aggregated [MW]","Hydro Pumped Storage - Actual Aggregated [MW]","Hydro Pumped Storage - Actual Consumption [MW]","Hydro Run-of-river and poundage - Actual Aggregated [MW]","Hydro Water Reservoir - Actual Aggregated [MW]","Marine - Actual Aggregated [MW]","Nuclear - Actual Aggregated [MW]","Other - Actual Aggregated [MW]","Other renewable - Actual Aggregated [MW]","Solar - Actual Aggregated [MW]","Waste - Actual Aggregated [MW]","Wind Offshore - Actual Aggregated [MW]","Wind Onshore - Actual Aggregated [MW]"
"BZN|SI","01.01.2024 00:00 - 01.01.2024 01:00 (CET/CEST)","5","n/e","165","n/e","21","n/e","0","n/e","n/e","n/e","0","","307","n/e","n/e","699","n/e","n/e","0","9","n/e","1"
"BZN|SI","01.01.2024 01:00 - 01.01.2024 02:00 (CET/CEST)","5","n/e","169","n/e","23","n/e","0","n/e","n/e","n/e","0","","203","n/e","n/e","699","n/e","n/e","0","8","n/e","1"
"BZN|SI","01.01.2024 02:00 - 01.01.2024 03:00 (CET/CEST)","5","n/e","168","n/e","24","n/e","0","n/e","n/e","n/e","0","","247","n/e","n/e","699","n/e","n/e","0","8","n/e","1"
"BZN|SI","01.01.2024 03:00 - 01.01.2024 04:00 (CET/CEST)","5","n/e","168","n/e","26","n/e","0","n/e","n/e","n/e","0","","287","n/e","n/e","699","n/e","n/e","0","8","n/e","2"
"BZN|SI","01.01.2024 04:00 - 01.01.2024 05:00 (CET/CEST)","5","n/e","167","n/e","26","n/e","0","n/e","n/e","n/e","0","","366","n/e","n/e","699","n/e","n/e","0","8","n/e","1"
"BZN|SI","01.01.2024 05:00 - 01.01.2024 06:00 (CET/CEST)","5","n/e","168","n/e","27","n/e","0","n/e","n/e","n/e","0","","503","n/e","n/e","699","n/e","n/e","0","8","n/e","1"
"BZN|SI","01.01.2024 06:00 - 01.01.2024 07:00 (CET/CEST)","5","n/e","168","n/e","27","n/e","0","n/e","n/e","n/e","0","","551","n/e","n/e","698","n/e","n/e","0","8","n/e","1"
"BZN|SI","01.01.2024 07:00 - 01.01.2024 08:00 (CET/CEST)","5","n/e","168","n/e","28","n/e","0","n/e","n/e","n/e","0","","486","n/e","n/e","698","n/e","n/e","0","8","n/e","1"
"BZN|SI","01.01.2024 08:00 - 01.01.2024 09:00 (CET/CEST)","5","n/e","167","n/e","28","n/e","0","n/e","n/e","n/e","0","","573","n/e","n/e","698","n/e","n/e","5","8","n/e","1"
"BZN|SI","01.01.2024 09:00 - 01.01.2024 10:00 (CET/CEST)","5","n/e","166","n/e","27","n/e","0","n/e","n/e","n/e","0","","768","n/e","n/e","698","n/e","n/e","15","8","n/e","1"
"BZN|SI","01.01.2024 10:00 - 01.01.2024 11:00 (CET/CEST)","5","n/e","168","n/e","27","n/e","0","n/e","n/e","n/e","0","","721","n/e","n/e","699","n/e","n/e","22","8","n/e","1"
"BZN|SI","01.01.2024 11:00 - 01.01.2024 12:00 (CET/CEST)","5","n/e","166","n/e","27","n/e","0","n/e","n/e","n/e","0","","719","n/e","n/e","698","n/e","n/e","20","8","n/e","1"
"BZN|SI","01.01.2024 12:00 - 01.01.2024 13:00 (CET/CEST)","5","n/e","168","n/e","27","n/e","0","n/e","n/e","n/e","0","","692","n/e","n/e","698","n/e","n/e","17","8","n/e","1"
"BZN|SI","01.01.2024 13:00 - 01.01.2024 14:00 (CET/CEST)","5","n/e","169","n/e","27","n/e","0","n/e","n/e","n/e","0","","754","n/e","n/e","698","n/e","n/e","14","8","n/e","1"
"BZN|SI","01.01.2024 14:00 - 01.01.2024 15:00 (CET/CEST)","5","n/e","167","n/e","27","n/e","0","n/e","n/e","n/e","0","","820","n/e","n/e","698","n/e","n/e","11","8","n/e","1"
"BZN|SI","01.01.2024 15:00 - 01.01.2024 16:00 (CET/CEST)","5","n/e","169","n/e","26","n/e","0","n/e","n/e","n/e","0","","863","n/e","n/e","699","n/e","n/e","4","8","n/e","1"
"BZN|SI","01.01.2024 16:00 - 01.01.2024 17:00 (CET/CEST)","5","n/e","169","n/e","27","n/e","0","n/e","n/e","n/e","0","","878","n/e","n/e","698","n/e","n/e","0","8","n/e","1"
"BZN|SI","01.01.2024 17:00 - 01.01.2024 18:00 (CET/CEST)","5","n/e","167","n/e","26","n/e","0","n/e","n/e","n/e","92","","876","n/e","n/e","698","n/e","n/e","0","8","n/e","0"
"BZN|SI","01.01.2024 18:00 - 01.01.2024 19:00 (CET/CEST)","5","n/e","171","n/e","27","n/e","0","n/e","n/e","n/e","119","","878","n/e","n/e","699","n/e","n/e","0","8","n/e","0"
"BZN|SI","01.01.2024 19:00 - 01.01.2024 20:00 (CET/CEST)","5","n/e","169","n/e","28","n/e","0","n/e","n/e","n/e","1","","878","n/e","n/e","699","n/e","n/e","0","8","n/e","0"
"BZN|SI","01.01.2024 20:00 - 01.01.2024 21:00 (CET/CEST)","5","n/e","168","n/e","27","n/e","0","n/e","n/e","n/e","0","","885","n/e","n/e","698","n/e","n/e","0","8","n/e","0"
"BZN|SI","01.01.2024 21:00 - 01.01.2024 22:00 (CET/CEST)","5","n/e","169","n/e","27","n/e","0","n/e","n/e","n/e","0","","878","n/e","n/e","698","n/e","n/e","0","8","n/e","0"
"BZN|SI","01.01.2024 22:00 - 01.01.2024 23:00 (CET/CEST)","5","n/e","167","n/e","20","n/e","0","n/e","n/e","n/e","0","","870","n/e","n/e","698","n/e","n/e","0","9","n/e","0"
"BZN|SI","01.01.2024 23:00 - 02.01.2024 00:00 (CET/CEST)","5","n/e","167","n/e","20","n/e","0","n/e","n/e","n/e","0","","843","n/e","n/e","698","n/e","n/e","0","9","n/e","0"
"BZN|SI","02.01.2024 00:00 - 02.01.2024 01:00 (CET/CEST)","5","n/e","169","n/e","0","n/e","0","n/e","n/e","n/e","0","","769","n/e","n/e","698","n/e","n/e","0","8","n/e","0"
"BZN|SI","02.01.2024 01:00 - 02.01.2024 02:00 (CET/CEST)","5","n/e","172","n/e","0","n/e","0","n/e","n/e","n/e","0","","752","n/e","n/e","698","n/e","n/e","0","8","n/e","0"
"BZN|SI","02.01.2024 02:00 - 02.01.2024 03:00 (CET/CEST)","5","n/e","170","n/e","0","n/e","0","n/e","n/e","n/e","0","","607","n/e","n/e","698","n/e","n/e","0","8","n/e","0"
"BZN|SI","02.01.2024 03:00 - 02.01.2024 04:00 (CET/CEST)","5","n/e","173","n/e","0","n/e","0","n/e","n/e","n/e","0","","556","n/e","n/e","698","n/e","n/e","0","8","n/e","0"
"BZN|SI","02.01.2024 04:00 - 02.01.2024 05:00 (CET/CEST)","5","n/e","169","n/e","0","n/e","0","n/e","n/e","n/e","0","","536","n/e","n/e","698","n/e","n/e","0","8","n/e","0"
"BZN|SI","02.01.2024 05:00 - 02.01.2024 06:00 (CET/CEST)","5","n/e","165","n/e","0","n/e","0","n/e","n/e","n/e","0","","650","n/e","n/e","698","n/e","n/e","0","8","n/e","0"
"BZN|SI","02.01.2024 06:00 - 02.01.2024 07:00 (CET/CEST)","5","n/e","167","n/e","0","n/e","0","n/e","n/e","n/e","0","","818","n/e","n/e","698","n/e","n/e","0","8","n/e","0"
"BZN|SI","02.01.2024 07:00 - 02.01.2024 08:00 (CET/CEST)","5","n/e","169","n/e","0","n/e","0","n/e","n/e","n/e","114","","839","n/e","n/e","698","n/e","n/e","0","8","n/e","0"
"BZN|SI","02.01.2024 08:00 - 02.01.2024 09:00 (CET/CEST)","5","n/e","170","n/e","0","n/e","0","n/e","n/e","n/e","152","","838","n/e","n/e","698","n/e","n/e","0","8","n/e","0"
"BZN|SI","02.01.2024 09:00 - 02.01.2024 10:00 (CET/CEST)","5","n/e","161","n/e","0","n/e","0","n/e","n/e","n/e","174","","785","n/e","n/e","698","n/e","n/e","1","8","n/e","0"
"BZN|SI","02.01.2024 10:00 - 02.01.2024 11:00 (CET/CEST)","5","n/e","158","n/e","0","n/e","0","n/e","n/e","n/e","174","","765","n/e","n/e","698","n/e","n/e","1","8","n/e","0"
"BZN|SI","02.01.2024 11:00 - 02.01.2024 12:00 (CET/CEST)","5","n/e","164","n/e","0","n/e","0","n/e","n/e","n/e","169","","746","n/e","n/e","698","n/e","n/e","1","8","n/e","0"
"BZN|SI","02.01.2024 12:00 - 02.01.2024 13:00 (CET/CEST)","5","n/e","183","n/e","0","n/e","0","n/e","n/e","n/e","169","","770","n/e","n/e","698","n/e","n/e","1","8","n/e","0"
"BZN|SI","02.01.2024 13:00 - 02.01.2024 14:00 (CET/CEST)","5","n/e","180","n/e","0","n/e","0","n/e","n/e","n/e","158","","798","n/e","n/e","698","n/e","n/e","2","8","n/e","0"
"BZN|SI","02.01.2024 14:00 - 02.01.2024 15:00 (CET/CEST)","5","n/e","163","n/e","0","n/e","0","n/e","n/e","n/e","156","","814","n/e","n/e","698","n/e","n/e","1","8","n/e","0"
"BZN|SI","02.01.2024 15:00 - 02.01.2024 16:00 (CET/CEST)","5","n/e","179","n/e","0","n/e","0","n/e","n/e","n/e","170","","814","n/e","n/e","698","n/e","n/e","0","8","n/e","0"
"BZN|SI","02.01.2024 16:00 - 02.01.2024 17:00 (CET/CEST)","5","n/e","158","n/e","0","n/e","0","n/e","n/e","n/e","167","","824","n/e","n/e","698","n/e","n/e","0","8","n/e","0"
"BZN|SI","02.01.2024 17:00 - 02.01.2024 18:00 (CET/CEST)","5","n/e","153","n/e","0","n/e","0","n/e","n/e","n/e","168","","761","n/e","n/e","698","n/e","n/e","0","8","n/e","0"
"BZN|SI","02.01.2024 18:00 - 02.01.2024 19:00 (CET/CEST)","5","n/e","159","n/e","0","n/e","0","n/e","n/e","n/e","168","","747","n/e","n/e","698","n/e","n/e","0","8","n/e","0"
"BZN|SI","02.01.2024 19:00 - 02.01.2024 20:00 (CET/CEST)","5","n/e","158","n/e","0","n/e","0","n/e","n/e","n/e","166","","738","n/e","n/e","698","n/e","n/e","0","8","n/e","0"
"BZN|SI","02.01.2024 20:00 - 02.01.2024 21:00 (CET/CEST)","5","n/e","162","n/e","0","n/e","0","n/e","n/e","n/e","1","","723","n/e","n/e","698","n/e","n/e","0","8","n/e","0"
"BZN|SI","02.01.2024 21:00 - 02.01.2024 22:00 (CET/CEST)","5","n/e","157","n/e","0","n/e","0","n/e","n/e","n/e","0","","674","n/e","n/e","698","n/e","n/e","0","8","n/e","0"
"BZN|SI","02.01.2024 22:00 - 02.01.2024 23:00 (CET/CEST)","5","n/e","180","n/e","0","n/e","0","n/e","n/e","n/e","0","","635","n/e","n/e","698","n/e","n/e","0","8","n/e","0"
"BZN|SI","02.01.2024 23:00 - 03.01.2024 00:00 (CET/CEST)","5","n/e","209","n/e","0","n/e","0","n/e","n/e","n/e","0","","561","n/e","n/e","699","n/e","n/e","0","8","n/e","0"
"BZN|SI","03.01.2024 00:00 - 03.01.2024 01:00 (CET/CEST)","5","n/e","220","n/e","0","n/e","0","n/e","n/e","n/e","0","","326","n/e","n/e","699","n/e","n/e","0","8","n/e","0"
"BZN|SI","03.01.2024 01:00 - 03.01.2024 02:00 (CET/CEST)","5","n/e","219","n/e","0","n/e","0","n/e","n/e","n/e","0","","153","n/e","n/e","699","n/e","n/e","0","8","n/e","0"
"BZN|SI","03.01.2024 02:00 - 03.01.2024 03:00 (CET/CEST)","5","n/e","215","n/e","0","n/e","0","n/e","n/e","n/e","0","","147","n/e","n/e","699","n/e","n/e","0","8","n/e","0"
"BZN|SI","03.01.2024 03:00 - 03.01.2024 04:00 (CET/CEST)","5","n/e","215","n/e","0","n/e","0","n/e","n/e","n/e","0","","148","n/e","n/e","699","n/e","n/e","0","8","n/e","0"
"BZN|SI","03.01.2024 04:00 - 03.01.2024 05:00 (CET/CEST)","5","n/e","208","n/e","0","n/e","0","n/e","n/e","n/e","0","","157","n/e","n/e","699","n/e","n/e","0","8","n/e","0"
"BZN|SI","03.01.2024 05:00 - 03.01.2024 06:00 (CET/CEST)","5","n/e","206","n/e","0","n/e","0","n/e","n/e","n/e","0","","207","n/e","n/e","698","n/e","n/e","0","8","n/e","0"
"BZN|SI","03.01.2024 06:00 - 03.01.2024 07:00 (CET/CEST)","5","n/e","219","n/e","0","n/e","0","n/e","n/e","n/e","0","","479","n/e","n/e","698","n/e","n/e","0","8","n/e","0"
"BZN|SI","03.01.2024 07:00 - 03.01.2024 08:00 (CET/CEST)","5","n/e","312","n/e","0","n/e","0","n/e","n/e","n/e","58","","682","n/e","n/e","698","n/e","n/e","0","8","n/e","0"
"BZN|SI","03.01.2024 08:00 - 03.01.2024 09:00 (CET/CEST)","5","n/e","420","n/e","0","n/e","0","n/e","n/e","n/e","0","","675","n/e","n/e","698","n/e","n/e","0","8","n/e","0"
"BZN|SI","03.01.2024 09:00 - 03.01.2024 10:00 (CET/CEST)","5","n/e","431","n/e","0","n/e","0","n/e","n/e","n/e","102","","738","n/e","n/e","698","n/e","n/e","2","8","n/e","0"
"BZN|SI","03.01.2024 10:00 - 03.01.2024 11:00 (CET/CEST)","5","n/e","454","n/e","0","n/e","0","n/e","n/e","n/e","0","","692","n/e","n/e","698","n/e","n/e","3","8","n/e","0"
"BZN|SI","03.01.2024 11:00 - 03.01.2024 12:00 (CET/CEST)","5","n/e","464","n/e","0","n/e","0","n/e","n/e","n/e","0","","485","n/e","n/e","698","n/e","n/e","4","8","n/e","0"
"BZN|SI","03.01.2024 12:00 - 03.01.2024 13:00 (CET/CEST)","5","n/e","340","n/e","0","n/e","0","n/e","n/e","n/e","0","","435","n/e","n/e","699","n/e","n/e","5","8","n/e","0"
"BZN|SI","03.01.2024 13:00 - 03.01.2024 14:00 (CET/CEST)","5","n/e","279","n/e","0","n/e","0","n/e","n/e","n/e","0","","479","n/e","n/e","699","n/e","n/e","2","8","n/e","0"
"BZN|SI","03.01.2024 14:00 - 03.01.2024 15:00 (CET/CEST)","5","n/e","325","n/e","0","n/e","0","n/e","n/e","n/e","0","","679","n/e","n/e","699","n/e","n/e","1","8","n/e","0"
"BZN|SI","03.01.2024 15:00 - 03.01.2024 16:00 (CET/CEST)","5","n/e","349","n/e","0","n/e","0","n/e","n/e","n/e","0","","751","n/e","n/e","699","n/e","n/e","1","8","n/e","0"
